offset;vid;route;stops;real_times
4290;7380;3_a;['railway_1', 'vosst_1', 'liteyny_1'];[4290, 4614, 4712]
4362;6857;22_b;['liteyny_0', 'mayakovskogo', 'zhukovskogo_22'];[4362, 4561, 4873]
4426;6956;27_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[4426, 4578, 4874, 4996]
4468;1262;24_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[4468, 4719, 4970, 5143]
4473;6934;15;['bkz', 'vosst_1', 'liteyny_2', 'zhukovskovgo_15'];[4473, 4977, 5270, 5320]
4506;1325;74_a;['bkz', 'railway_0'];[4506, 4906]
4515;7572;3_a;['railway_1', 'vosst_1', 'liteyny_1'];[4515, 4575, 4755]
4558;3867;191_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[4558, 4638, 4940, 5080]
4580;6278;181_a;['vosst_1', 'liteyny_1'];[4580, 4800]
4638;3680;191_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[4638, 4894, 5150, 5210]
4724;7231;3_b;['liteyny_0', 'vosst_0', 'railway_0'];[4724, 4904, 4964]
4739;1513;74_a;['bkz', 'railway_0'];[4739, 5072]
4769;7181;22_b;['liteyny_0', 'mayakovskogo', 'zhukovskogo_22'];[4769, 5099, 5255]
4780;3574;191_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[4780, 4915, 5207, 5372]
4830;3788;191_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[4830, 5124, 5436, 5628]
4854;7368;22_a;['bkz', 'vosst_1', 'liteyny_1'];[4854, 5306, 5524]
4862;1409;24_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[4862, 5042, 5222, 5282]
4896;7189;3_a;['railway_1', 'vosst_1', 'liteyny_1'];[4896, 5269, 5392]
4921;6256;181_a;['vosst_1', 'liteyny_1'];[4921, 5023]
4928;194145;105_a;['bkz', 'railway_0'];[4928, 5357]
4979;6954;27_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[4979, 5132, 5361, 5531]
4998;7172;3_b;['liteyny_0', 'vosst_0', 'railway_0'];[4998, 5191, 5447]
5007;7227;65_a;['poltav_1', 'suvorov_1', 'railway_0'];[5007, 5222, 5605]
5012;7132;65_b;['railway_1', 'suvorov_0', 'poltav_0'];[5012, 5149, 5269]
5065;1443;74_a;['bkz', 'railway_0'];[5065, 5512]
5087;6898;22_b;['liteyny_0', 'mayakovskogo', 'zhukovskogo_22'];[5087, 5207, 5327]
5104;6936;27_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[5104, 5274, 5553, 5892]
5192;7223;65_b;['railway_1', 'suvorov_0', 'poltav_0'];[5192, 5372, 5492]
5295;6852;22_a;['bkz', 'vosst_1', 'liteyny_1'];[5295, 5755, 5886]
5390;6987;27_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[5390, 5510, 5570, 5750]
5415;7154;3_a;['railway_1', 'vosst_1', 'liteyny_1'];[5415, 5667, 5781]
5416;3657;191_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[5416, 5896, 6211, 6326]
5442;6251;181_a;['vosst_1', 'liteyny_1'];[5442, 5612]
5448;6983;27_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[5448, 5619, 6008, 6161]
5463;1405;24_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[5463, 5624, 5874, 6004]
5589;6224;181_a;['vosst_1', 'liteyny_1'];[5589, 5769]
5622;7597;3_b;['liteyny_0', 'vosst_0', 'railway_0'];[5622, 5803, 5904]
5697;7248;65_b;['railway_1', 'suvorov_0', 'poltav_0'];[5697, 5877, 5997]
5698;1566;74_a;['bkz', 'railway_0'];[5698, 6111]
5758;6964;15;['bkz', 'vosst_1', 'liteyny_2', 'zhukovskovgo_15'];[5758, 6174, 6345, 6388]
5768;1411;24_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[5768, 5828, 5935, 6000]
5816;1334;24_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[5816, 6387, 6716, 6800]
5856;7247;3_a;['railway_1', 'vosst_1', 'liteyny_1'];[5856, 6166, 6266]
5971;6257;181_b;['liteyny_0', 'vosst_0'];[5971, 6238]
5973;194122;105_a;['bkz', 'railway_0'];[5973, 6266]
6008;1227;24_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[6008, 6465, 6922, 7114]
6036;1535;74_a;['bkz', 'railway_0'];[6036, 6566]
6069;6978;181_a;['vosst_1', 'liteyny_1'];[6069, 6229]
6084;7387;65_b;['railway_1', 'suvorov_0', 'poltav_0'];[6084, 6374, 6604]
6094;3610;191_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[6094, 6487, 6891, 7038]
6175;6913;15;['bkz', 'vosst_1', 'liteyny_2', 'zhukovskovgo_15'];[6175, 6809, 6890, 6941]
6220;7135;3_a;['railway_1', 'vosst_1', 'liteyny_1'];[6220, 6718, 6784]
6239;1404;24_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[6239, 6851, 7140, 7244]
6249;3636;191_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[6249, 6508, 6944, 7260]
6252;6965;27_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[6252, 6372, 7099, 7233]
6351;7185;22_b;['liteyny_0', 'mayakovskogo', 'zhukovskogo_22'];[6351, 6511, 6606]
6423;1258;24_b;['liteyny_0', 'vosst_0', 'suvorov_0'];[6423, 6774, 7129]
6462;6958;27_a;['poltav_1', 'suvorov_1'];[6462, 6924]
6465;6243;181_b;['liteyny_0', 'vosst_0'];[6465, 6915]
6506;6255;181_a;['vosst_1', 'liteyny_1'];[6506, 6686]
6536;1499;24_a;['poltav_1', 'suvorov_1'];[6536, 7096]
6570;6991;27_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[6570, 6690, 6750, 6930]
6625;6944;27_b;['liteyny_0', 'vosst_0', 'suvorov_0'];[6625, 6833, 7154]
6792;1498;24_a;['poltav_1', 'suvorov_1'];[6792, 6852]
6835;7450;3_a;['railway_1', 'vosst_1', 'liteyny_1'];[6835, 7185, 7265]
6857;6951;27_a;['poltav_1', 'suvorov_1'];[6857, 7127]
6906;7383;22_b;['liteyny_0', 'mayakovskogo'];[6906, 7215]
7050;7459;65_b;['railway_1', 'suvorov_0'];[7050, 7230]
